Date,Author,Target,Description,Attack,Target Category,Country,Taxonomy,Attack Class
1/1/2015,Unknown,Unknown,"Kami Haxor hacks oar.org.ro (the professional union of Romanian architects) and dumps 1,845 usernames and passwords.",Unknown,Org: Professional Category,RO,17.07 Next-Generation Firewalls,Data Theft
1/1/2015,Unknown,Unknown,The Instagram account of Nicole Polizzi is hacked: several of her images are deleted and replaced with messages in Arabic and the image of a person in a head scarf. ,SQLi,Single Individual,US,11.01 Account Take-Over (ATO),Customized To Target
1/2/2015,Unknown,Unknown,"Hackers from Linker Squad claim to have stolen confidential data relating to almost 2 million online shoppers in France who made purchases via the French TV station website TF1.fr. TF1 confirms the part of the site was compromised is run by a commercial partner, Viapresse, and the broadcaster's website itself was not targeted.",SQLi,Broadcast,FR,17.07 Next-Generation Firewalls,Data Theft
1/2/2015,Unknown,Unknown,"Darkshadow, the member of Arab Security Team, a group of pro-Al Qaeda hackers, defaces a local journey planner website (TravelWest around Bristol), maybe believing to have targeted a major international travel website.",SQLi,Online Services,UK,25.02 Content Security,Business Disruption
1/2/2015,Unknown,Unknown,"Florida-based exam preparation company Fast Forward Academy notifies an undisclosed number of individuals that an unauthorized person attempted to access its systems, which store partner and customer information.",Account Hijacking,Training Services,US,14.04 Intrusion Prevention System (IPS),Insider Threat
1/2/2015,Unknown,Unknown,"The Anonymous claim to have successfully penetrated the network of several Ukrainian Law Enforcement and Justice organizations, and leak some document to proof the local level of corruption.",SQLi,Government,UA,17.05 Network Detection and Response (NDR),End Points
1/3/2015,Unknown,Unknown,A hacker called @ulzr1z decides to commemorate the two year anniversary of the death of Aaron Swartz and defaces 15 sites of Massachusetts Institute of Technology (MIT).,Defacement,Education,US,14.04 Intrusion Prevention System (IPS),Customized To Target
1/3/2015,Unknown,Unknown,"@ulzr1z claims to have hacked a subdomain of the United Nations  (sustainabledevelopment.un.org) and dumps 1,200 usernames and passwords.",Unknown,Org: United Nations,Multi,17.07 Next-Generation Firewalls,Customized To Target
1/4/2015,Unknown,Unknown,"The anti-Bashar Al Assad hacker Dr.SHA6H defaces the official Pakistani website of UNDP (United Nations Development Programme, undp.un.org.pk) to protest against the ongoing Syrian conflict.",Unknown,Org: United Nations,PK,25.0 Web Security,Customized To Target
1/4/2015,Unknown,Unknown,The Tan Tock Seng Hospital Facebook page is hacked and posts Anti-Singaporean comments.,Defacement,Healthcare,SG,1.05 Mobile Application Security Testing (MAST),False Claims of Digital Identity
1/4/2015,Unknown,Several Universities,"MarxistAttorney starts his personal battle against universities and hacks several institutions including: California State University, University of Kentucky, University of Connecticut, University of Maryland, Coastal Carolina University, and Abertay University.",SQLi,Education,US,17.07 Next-Generation Firewalls,Customized To Target
1/5/2015,Unknown,Unknown,"UK-based Bitstamp, the second largest bitcoin exchange for US dollars, suspends operations, following evidence that online thieves have stolen up to 19,000 BTC, approximately $5.2 million, from its operational store of bitcoins.",Defacement,Bitcoin Exchange,UK,5.03 Data Encryption,Insider Threat
1/5/2015,Unknown,Unknown,Linker Squad claims to have hacked 10 million user records from Orange Spain.,Account Hijacking,Telco,ES,17.07 Next-Generation Firewalls,Vulnerability Exploitation
1/5/2015,Unknown,Unknown,Sussex Police investigates three security breaches of its external website over the Christmas period.,SQLi,Law Enforcement,UK,22.02 Breach and Attack Simulation (BAS),Vulnerability to Unknown Threats
1/6/2015,Unknown,Unknown,"CyberCaliphate, a pro-IS group takes control of the twitter accounts of the Albuquerque Journal, CBS and Fox affiliates in Delmarva, Maryland, and a station in Tennessee ",Unknown,News,US,16.01 Mobile App Security,Mobile Devices
1/6/2015,Gantengers Crew,Unknown,"Two more domains of the official website of The International Council of Electronic Commerce Consultants (EC-Council) are hacked Gantengers Crew, the same group who defaced the site end of December 2014.",SQLi,Org: Professional Certifications,US,25.0 Web Security,Customized To Target
1/6/2015,X-saad,Unknown,"The website of Sowerby Primary School in Thirsk, North Yorkshire (UK) is defaced by X-saad, a Pro-Islamist hacker. As a result the parents keep their children off from school.",Unknown,Education,UK,25.0 Web Security,Business Disruption
1/7/2015,Unknown,Unknown,"The infamous Hacking Group Rex Mundi is active also in the new year, and after blackmailing Banque Cantonale de Geneve (BCGE), dumps details of about 30,000 bank’s customers, after the banks rejects the request to pay a ransom of EUR10,000 ($12,000).",Account Hijacking,Finance,CH,3.05 Ransomware Prevention,Customized To Target
1/7/2015,Unknown,Unknown,The Pro-Russian Hacker Group CyberBerkut claims to have taken down the website of Merkel’s government seat (bundeskanzlerin.de) and the website of Germany’s legislative body,Defacement,Government,DE,17.03 Distributed Denial of Service (DDOS) Security,Criminals
1/7/2015,Unknown,Unknown,bundestag.de).,Defacement,E-Commerce,AU,25.04 Web Application Firewall (WAF),Data Theft
1/7/2015,Unknown,Hirsche Private Asset,"Silent Hacker's Group hacks soundmass.com and dumps 1,385 usernames and pa",SQLi,Financial Services,TW,22.02 Breach and Attack Simulation (BAS),Vulnerability to Unknown Threats
1/7/2015,Unknown,Several Universities,"Hirsche Private Asset notifies his customers of a security breach, warning them to ignore any information coming from third parties.",DDoS,Education,US,17.07 Next-Generation Firewalls,Customized To Target
1/8/2015,Unknown,Unknown,The University of Hawaii and Cornell University join the lists of the ones hacked by @MarxistAttorney,SQLi,Imageboard,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/9/2015,Unknown,Multi,The infamous Lizard Squad takes credit for a DDoS attack against the imageboard site 8chan.,Unknown,Multi,Multi,25.0 Web Security,Media Public Perception
1/10/2015,Unknown,Unknown,"A particularly virulent malvertising campaign is discovered using AOL's advertising network to strike legitimate websites. Initially spotted on the Canadian domain of The Huffington Post, the combined total monthly traffic of all the targeted sites is around 1.5 bn visitors.",SQLi,Torrent Exchange,US,17.03 Distributed Denial of Service (DDOS) Security,Activist Hacktivist
1/11/2015,Unknown,Unknown,"Extratorrent, the world’s number 4 torrent website is taken down by a DDOS attack.",DDoS,News,KP,17.07 Next-Generation Firewalls,Mass Malware
1/11/2015,Unknown,Unknown,"A security researcher examining the website of North Korea's official news service, the Korean Central News Agency (kcna.kp) discovers that the site delivers malware in disguise of an old Flash update.",Malvertising,Video Games,US,5.0 Data Security,Data Modification
1/11/2015,Unknown,Road Signs,"MoneyHorse Games announces that Glorious Leader!, a game they were developing mocking North Korean Dictator Kim Jong Un, has been hacked (maybe on the wake of the infamous Sony Hack) with the consequent destruction of all game data.",DDoS,Road Signs,US,25.0 Web Security,Activist Hacktivist
1/11/2015,Unknown,ansar-alhaqq.net,Yet another example of road signs hacking. This time the message suggests quite a weird New Year’s Resolution to drivers passing around Los Angeles.,Malware,Sport,Multi,17.03 Distributed Denial of Service (DDOS) Security,Activist Hacktivist
1/11/2015,Unknown, Unknown,"In name of OpCharlieHebdo, the Anonymous claim to have take down the first pro-Jihadist site ansar-alhaqq.net. The site is only the first of a list of Islamist sites allegedly taken down by the Hacktivists.",Unknown,Government,AU,25.0 Web Security,Criminals
1/12/2015,Unknown, Unknown,Dr.SHA6H defaces the official website of the Bundaberg Library (bundaberg.qld.gov.au).,Unknown,Military,US,16.01 Mobile App Security,Customized To Target
1/12/2015,Unknown, Unknown,"The Twitter and YouTube accounts for the US military command that oversees operations in the Middle East   (CENTCOM) are hacked by the CyberCaliphate. Several maps and diagrams are also posted by the attackers, despite Centcom states that no sensitive information has been compromised.",DDoS,Airline,US,2.04 Password Management,Data Theft
1/12/2015,Unknown, Unknown,"After United (in December), even American Airlines admits to have been victim of hackers stealing usernames and passwords from a third party source. 10,000 accounts are hacked and subject to illegitimate transactions of miles. ",Defacement,Handcraft,US,25.0 Web Security,Media Public Perception
1/12/2015,Unknown, Unknown,The Crayola Facebook page is hacked. As a consequence offensive “inappropriate and offensive” content is posted on the page. ,Account Hijacking,Non-Profit,Multi,25.0 Web Security,Customized To Target
1/12/2015,Unknown, Unknown,"The website of the open-source text editor Notepad++ is defaced by Fallaga Team, an Islamist hacking group, because the developer released a “Je suis Charlie” edition of the software.",Unknown,Video Games Rental,UK,22.02 Breach and Attack Simulation (BAS),Data Theft
1/12/2015,Unknown, Unknown,Video game rental company Boomerang Rentals shuts down its websites amidst unconfirmed concerns that it may have suffered a security breach that spilled customers' credit card details.,Account Hijacking,E-Commerce,IL,17.07 Next-Generation Firewalls,Data Theft
1/14/2015,Unknown, Unknown,"r3dm0v3 hacks publisher.co.il and dumps 5,000 usernames and hashed passwords.",Defacement,E-Commerce,US,11.0 Fraud Management,Data Theft
1/14/2015,Dorking92, Unknown,"ValuePetSupplies.com notifies several thousand customers that unauthorized persons accessed its servers and installed malicious files to capture personal information, including payment card data.",Unknown,Dating,FR,25.04 Web Application Firewall (WAF),Data Theft
1/14/2015,Unknown, Unknown,"A hacker called Dorking92 hacks lehlel.com and dumps 20,000 usernames and clear text passwords.",SQLi,News,US,25.04 Web Application Firewall (WAF),Data Theft
